,td,dataset,file,prop,subevent,role,causation,syntax,entities,relations,statements,density,3_statements,5_statements,in_degree_3,out_degree_3,in_degree_5,in_degree_simple_hr,out_degree_simple_hr
100,simple-triple,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_simple_rdf_prop,train.csv,1,1,1,1,simple_rdf_prop,1139695,1188,2596806,1.4829311506762632e-13,2596806,0,3.3985397837377964,2.2880630973047698,0,0,0
101,simple-triple,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_simple_rdf_prop,inference_graph.csv,1,1,1,1,simple_rdf_prop,159177,928,280125,1.274372117853137e-11,280125,0,4.125416105694545,1.7795370565373054,0,0,0
102,simple-triple,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_simple_rdf_prop,inference_valid.csv,1,1,1,1,simple_rdf_prop,68873,649,56904,3.088263927047478e-10,56904,0,1.6861443641104659,1.4425431591756026,0,0,0
103,simple-triple,kg_base_prop_1_subevent_1_role_1_causation_1_syntax_simple_rdf_prop,inference_test.csv,1,1,1,1,simple_rdf_prop,24023,513,19751,2.5634321214363624e-09,19751,0,1.6589114732067864,1.4500403788268115,0,0,0
104,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp,train.csv,0,1,0,1,simple_rdf_sp,10694,229,22474,1.979881724875176e-09,22474,0,2.3604969467256263,2.38688384967529,0,0,0
105,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp,inference_graph.csv,0,1,0,1,simple_rdf_sp,2058,153,3063,1.0658743383185342e-07,3063,0,2.349267540478026,1.7704822777454967,0,0,0
106,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp,inference_valid.csv,0,1,0,1,simple_rdf_sp,583,53,456,4.809172052939366e-06,456,0,1.0363636363636364,2.350515463917526,0,0,0
107,simple-triple,kg_base_prop_0_subevent_1_role_0_causation_1_syntax_simple_rdf_sp,inference_test.csv,0,1,0,1,simple_rdf_sp,301,35,233,1.8419937740610438e-05,233,0,1.0688073394495412,1.9416666666666667,0,0,0
108,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_reification,train.csv,1,0,1,0,simple_rdf_reification,904681,114,3286627,9.25761600059267e-14,3286627,0,8.046874502436072,3.642614305451755,0,0,0
109,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_reification,inference_graph.csv,1,0,1,0,simple_rdf_reification,214655,74,519579,3.704220411706107e-12,519579,0,6.0659062703149935,2.4060290670417253,0,0,0
110,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_reification,inference_valid.csv,1,0,1,0,simple_rdf_reification,71669,8,114214,7.665867645411694e-11,114214,0,2.7517467354117477,3.159971226206286,0,0,0
111,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_reification,inference_test.csv,1,0,1,0,simple_rdf_reification,41550,8,67757,2.178169447485466e-10,67757,0,2.8168703749896067,3.228676260364052,0,0,0
